seed,encoder_initialization,learning_rate,epochs,validation_ideal_accuracy,validation_pairwise_accuracy,training_pairwise_accuracy
616,imagenet,3e-05,30,0.5666666666666667,0.8,0.9289340101522843
717,imagenet,3e-05,30,0.5333333333333333,1.0,0.9789473684210527
818,imagenet,3e-05,30,0.5666666666666667,0.8,0.9834254143646409
42,imagenet,0.0001,3,0.5666666666666667,1.0,0.9239766081871345
79,imagenet,0.0001,3,0.4666666666666667,0.75,0.9642857142857143
123,imagenet,0.0001,3,0.6333333333333333,1.0,0.9326424870466321
202,imagenet,0.0001,3,0.7,1.0,0.9627659574468085
314,imagenet,0.0001,3,0.4666666666666667,0.7894736842105263,0.8911917098445595
404,imagenet,0.0001,3,0.43333333333333335,1.0,0.8895027624309392
515,imagenet,0.0001,3,0.4,0.8571428571428571,0.9485714285714286
616,imagenet,0.0001,3,0.4,0.8666666666666667,0.9238578680203046
717,imagenet,0.0001,3,0.4666666666666667,1.0,0.9368421052631579
818,imagenet,0.0001,3,0.4666666666666667,0.8,0.9392265193370166
42,imagenet,0.0001,10,0.6,1.0,0.9473684210526315
79,imagenet,0.0001,10,0.43333333333333335,0.625,0.9642857142857143
123,imagenet,0.0001,10,0.5333333333333333,1.0,0.9585492227979274
202,imagenet,0.0001,10,0.6333333333333333,1.0,0.973404255319149
314,imagenet,0.0001,10,0.3,0.8947368421052632,0.9430051813471503
404,imagenet,0.0001,10,0.5666666666666667,1.0,0.9392265193370166
515,imagenet,0.0001,10,0.5666666666666667,0.8571428571428571,0.9314285714285714
616,imagenet,0.0001,10,0.4,0.8666666666666667,0.949238578680203
717,imagenet,0.0001,10,0.5,1.0,0.9526315789473684
818,imagenet,0.0001,10,0.3,0.6,0.9502762430939227
42,imagenet,0.0001,30,0.6333333333333333,1.0,0.9298245614035088
79,imagenet,0.0001,30,0.5333333333333333,0.75,0.9540816326530612
123,imagenet,0.0001,30,0.6,1.0,0.8963730569948186
202,imagenet,0.0001,30,0.7,1.0,0.9840425531914894
314,imagenet,0.0001,30,0.5,0.8421052631578947,0.9481865284974094
404,imagenet,0.0001,30,0.6,1.0,0.9613259668508287
515,imagenet,0.0001,30,0.5,0.8571428571428571,0.9371428571428572
616,imagenet,0.0001,30,0.4666666666666667,0.8,0.934010152284264
717,imagenet,0.0001,30,0.5,1.0,0.9842105263157894
818,imagenet,0.0001,30,0.6,0.8,0.9723756906077348
42,imagenet,0.0003,3,0.4,1.0,0.9005847953216374
79,imagenet,0.0003,3,0.6,0.625,0.9489795918367347
123,imagenet,0.0003,3,0.4666666666666667,1.0,0.9637305699481865
202,imagenet,0.0003,3,0.6666666666666666,1.0,0.9521276595744681
314,imagenet,0.0003,3,0.4666666666666667,0.8947368421052632,0.9533678756476683
404,imagenet,0.0003,3,0.7666666666666667,1.0,0.9392265193370166
515,imagenet,0.0003,3,0.43333333333333335,0.8571428571428571,0.9371428571428572
616,imagenet,0.0003,3,0.4666666666666667,0.8666666666666667,0.9187817258883249
717,imagenet,0.0003,3,0.5333333333333333,1.0,0.9263157894736842
818,imagenet,0.0003,3,0.5333333333333333,0.8,0.9281767955801105
42,imagenet,0.0003,10,0.4666666666666667,1.0,0.935672514619883
79,imagenet,0.0003,10,0.43333333333333335,0.625,0.9540816326530612
123,imagenet,0.0003,10,0.6333333333333333,0.0,0.9119170984455959
202,imagenet,0.0003,10,0.6333333333333333,1.0,0.9414893617021277
314,imagenet,0.0003,10,0.36666666666666664,0.8947368421052632,0.9637305699481865
404,imagenet,0.0003,10,0.7,1.0,0.9337016574585635
515,imagenet,0.0003,10,0.5666666666666667,0.8571428571428571,0.8971428571428571
616,imagenet,0.0003,10,0.6,0.8666666666666667,0.9289340101522843
717,imagenet,0.0003,10,0.36666666666666664,1.0,0.9421052631578948
818,imagenet,0.0003,10,0.5,0.8,0.8397790055248618
42,imagenet,0.0003,30,0.4666666666666667,1.0,0.9415204678362573
79,imagenet,0.0003,30,0.5666666666666667,0.75,0.9438775510204082
123,imagenet,0.0003,30,0.6,0.0,0.927461139896373
202,imagenet,0.0003,30,0.6666666666666666,1.0,0.9574468085106383
314,imagenet,0.0003,30,0.6333333333333333,0.8421052631578947,0.9585492227979274
404,imagenet,0.0003,30,0.6333333333333333,1.0,0.9447513812154696
515,imagenet,0.0003,30,0.7333333333333333,0.7142857142857143,0.7771428571428571
616,imagenet,0.0003,30,0.4,0.8666666666666667,0.949238578680203
717,imagenet,0.0003,30,0.4666666666666667,1.0,0.9578947368421052
818,imagenet,0.0003,30,0.43333333333333335,0.6,0.9171270718232044
