seed,strategy,post_accuracy_difference_vs_random,batch_utility_difference_vs_random
42,uncertainty,0.09999999999999998,0.09999999999999998
79,uncertainty,0.3666666666666667,0.3666666666666667
123,uncertainty,0.23333333333333328,0.23333333333333328
505,uncertainty,0.033333333333333326,0.033333333333333326
808,uncertainty,-0.03333333333333338,-0.03333333333333338
909,uncertainty,0.0,0.0
1010,uncertainty,-0.16666666666666663,-0.16666666666666663
707,uncertainty,0.033333333333333326,0.033333333333333326
606,uncertainty,0.09999999999999998,0.09999999999999998
202,uncertainty,-0.10000000000000003,-0.10000000000000003
1111,uncertainty,0.16666666666666663,0.16666666666666663
303,uncertainty,0.16666666666666663,0.16666666666666663
1212,uncertainty,0.09999999999999998,0.09999999999999998
404,uncertainty,-0.09999999999999998,-0.09999999999999998
1313,uncertainty,0.033333333333333326,0.033333333333333326
42,cluster_diverse,0.033333333333333326,0.033333333333333326
79,cluster_diverse,-0.10000000000000003,-0.10000000000000003
123,cluster_diverse,0.09999999999999998,0.09999999999999998
505,cluster_diverse,0.09999999999999998,0.09999999999999998
808,cluster_diverse,-0.03333333333333338,-0.03333333333333338
909,cluster_diverse,0.09999999999999998,0.09999999999999998
1010,cluster_diverse,-0.1333333333333333,-0.1333333333333333
707,cluster_diverse,-0.033333333333333326,-0.033333333333333326
606,cluster_diverse,-0.10000000000000003,-0.10000000000000003
202,cluster_diverse,-0.06666666666666671,-0.06666666666666671
1111,cluster_diverse,0.0,0.0
303,cluster_diverse,-0.23333333333333334,-0.23333333333333334
1212,cluster_diverse,-0.10000000000000003,-0.10000000000000003
404,cluster_diverse,-0.09999999999999998,-0.09999999999999998
1313,cluster_diverse,0.06666666666666665,0.06666666666666665
42,uncertainty_diversity,-0.1333333333333333,-0.1333333333333333
79,uncertainty_diversity,0.033333333333333326,0.033333333333333326
123,uncertainty_diversity,0.19999999999999996,0.19999999999999996
505,uncertainty_diversity,0.2,0.2
808,uncertainty_diversity,-0.03333333333333338,-0.03333333333333338
909,uncertainty_diversity,0.0,0.0
1010,uncertainty_diversity,-0.09999999999999998,-0.09999999999999998
707,uncertainty_diversity,-0.16666666666666669,-0.16666666666666669
606,uncertainty_diversity,0.09999999999999998,0.09999999999999998
202,uncertainty_diversity,0.033333333333333326,0.033333333333333326
1111,uncertainty_diversity,0.06666666666666665,0.06666666666666665
303,uncertainty_diversity,-0.033333333333333326,-0.033333333333333326
1212,uncertainty_diversity,0.4,0.4000000000000001
404,uncertainty_diversity,-0.06666666666666665,-0.06666666666666665
1313,uncertainty_diversity,-0.06666666666666671,-0.06666666666666671
42,core_set,-0.16666666666666663,-0.16666666666666663
79,core_set,-0.10000000000000003,-0.10000000000000003
123,core_set,0.16666666666666663,0.16666666666666663
505,core_set,-0.06666666666666668,-0.06666666666666668
808,core_set,0.033333333333333326,0.033333333333333326
909,core_set,-0.16666666666666669,-0.16666666666666669
1010,core_set,-0.23333333333333334,-0.23333333333333334
707,core_set,0.06666666666666665,0.06666666666666665
606,core_set,0.2666666666666666,0.2666666666666666
202,core_set,0.09999999999999998,0.09999999999999998
1111,core_set,-0.06666666666666665,-0.06666666666666665
303,core_set,-0.3666666666666667,-0.3666666666666667
1212,core_set,-0.033333333333333326,-0.033333333333333326
404,core_set,-0.09999999999999998,-0.09999999999999998
1313,core_set,0.09999999999999998,0.09999999999999998
