seed,strategy,post_accuracy_difference_vs_random,batch_utility_difference_vs_random
42,uncertainty,0.09999999999999998,0.09999999999999998
79,uncertainty,0.3666666666666667,0.3666666666666667
123,uncertainty,0.23333333333333328,0.23333333333333328
202,uncertainty,-0.10000000000000003,-0.10000000000000003
303,uncertainty,0.16666666666666663,0.16666666666666663
42,cluster_diverse,0.033333333333333326,0.033333333333333326
79,cluster_diverse,-0.10000000000000003,-0.10000000000000003
123,cluster_diverse,0.09999999999999998,0.09999999999999998
202,cluster_diverse,-0.06666666666666671,-0.06666666666666671
303,cluster_diverse,-0.23333333333333334,-0.23333333333333334
42,uncertainty_diversity,-0.1333333333333333,-0.1333333333333333
79,uncertainty_diversity,0.033333333333333326,0.033333333333333326
123,uncertainty_diversity,0.19999999999999996,0.19999999999999996
202,uncertainty_diversity,0.033333333333333326,0.033333333333333326
303,uncertainty_diversity,-0.033333333333333326,-0.033333333333333326
42,core_set,-0.16666666666666663,-0.16666666666666663
79,core_set,-0.10000000000000003,-0.10000000000000003
123,core_set,0.16666666666666663,0.16666666666666663
202,core_set,0.09999999999999998,0.09999999999999998
303,core_set,-0.3666666666666667,-0.3666666666666667
