,(1 x 1),HTR,RT13,Twinned(2 x 1),c(6 x 2)
(1 x 1),0.0,16.107358932495117,20.28000831604004,35.51051712036133,16.9597110748291
HTR,16.107358932495117,0.0,18.002511978149414,37.09603500366211,24.520301818847656
RT13,20.28000831604004,18.002511978149414,0.0,23.88889503479004,18.21567153930664
Twinned(2 x 1),35.51051712036133,37.09603500366211,23.88889503479004,0.0,29.243295669555664
c(6 x 2),16.9597110748291,24.520301818847656,18.21567153930664,29.243295669555664,0.0
