,(1 x 1),HTR,RT13,Twinned(2 x 1),c(6 x 2)
(1 x 1),0.0,588.6468505859375,331.5498962402344,129.40756225585938,73.36524963378906
HTR,588.6468505859375,0.0,267.18975830078125,670.609375,638.9885864257812
RT13,331.5498962402344,267.18975830078125,0.0,407.5948181152344,378.08062744140625
Twinned(2 x 1),129.40756225585938,670.609375,407.5948181152344,0.0,73.59698486328125
c(6 x 2),73.36524963378906,638.9885864257812,378.08062744140625,73.59698486328125,0.0
