,(1 x 1),HTR,RT13,Twinned(2 x 1),c(6 x 2)
(1 x 1),0.0,39.94260787963867,33.54292678833008,37.42024230957031,21.79597282409668
HTR,39.94260787963867,0.0,20.884414672851562,37.322444915771484,39.41160583496094
RT13,33.54292678833008,20.884414672851562,0.0,24.402576446533203,31.4650821685791
Twinned(2 x 1),37.42024230957031,37.322444915771484,24.402576446533203,0.0,33.639678955078125
c(6 x 2),21.79597282409668,39.41160583496094,31.4650821685791,33.639678955078125,0.0
