fixed_epochs,strategy,budget,epoch,mean_train_loss,sd_train_loss,mean_utility_validation_accuracy,sd_utility_validation_accuracy,seeds
3,random,10,1,0.5865758409023318,0.04936002533165048,0.2023809523809524,0.1486904285332952,3
3,random,10,2,0.4823053891646314,0.02842613039032352,0.2142857142857143,0.1287696884094282,3
3,random,10,3,0.45884073387978214,0.024624241892091486,0.38095238095238093,0.041239304942116105,3
3,random,25,1,0.5429573447927245,0.03829124545230928,0.2738095238095238,0.0743452142666476,3
3,random,25,2,0.45668745368875424,0.016672121794062255,0.35714285714285715,0.0,3
3,random,25,3,0.42296816216247984,0.023879642656598643,0.2261904761904762,0.10910894511799621,3
3,random,50,1,0.507517997719391,0.021275040787549247,0.2976190476190476,0.10910894511799618,3
3,random,50,2,0.4263821615228009,0.02271983999250059,0.3452380952380953,0.041239304942116105,3
3,random,50,3,0.3769648419490767,0.013151764628489306,0.19047619047619047,0.1254244494387231,3
3,random,75,1,0.48719531776465225,0.0034238713743202447,0.4047619047619048,0.08247860988423224,3
3,random,75,2,0.3985059141858988,0.005513178121283545,0.21428571428571427,0.16366341767699427,3
3,random,75,3,0.3654316353948122,0.01417492000996914,0.3333333333333333,0.10309826235529031,3
3,random,100,1,0.4752216664471897,0.0034364811055521455,0.25,0.14285714285714285,3
3,random,100,2,0.38194618399040814,0.013227455138495214,0.2738095238095238,0.13521210347143506,3
3,random,100,3,0.3488011950908101,0.014388755487218019,0.4166666666666667,0.1486904285332952,3
3,uncertainty,10,1,0.570367385520822,0.1006507459667545,0.2023809523809524,0.14433756729740643,3
3,uncertainty,10,2,0.4963613821968658,0.06415103650577038,0.2261904761904762,0.05455447255899809,3
3,uncertainty,10,3,0.4696242177896603,0.02620021307476053,0.2380952380952381,0.0743452142666476,3
3,uncertainty,25,1,0.5288269234714517,0.051844102782924666,0.10714285714285714,0.06185895741317419,3
3,uncertainty,25,2,0.4479109823371334,0.021808309543207626,0.2619047619047619,0.11480536620229706,3
3,uncertainty,25,3,0.4222606078110918,0.027992438671109877,0.32142857142857145,0.0944911182523068,3
3,uncertainty,50,1,0.4845313292977505,0.032181500514441304,0.2738095238095238,0.16877912950902177,3
3,uncertainty,50,2,0.4200625755235463,0.01785521030850102,0.20238095238095236,0.0743452142666476,3
3,uncertainty,50,3,0.3650926444426305,0.004199646776235637,0.21428571428571427,0.14285714285714285,3
3,uncertainty,75,1,0.47471821432908584,0.011679642123188371,0.35714285714285715,0.0944911182523068,3
3,uncertainty,75,2,0.39479716180387375,0.002788920678480265,0.2261904761904762,0.20926661703865412,3
3,uncertainty,75,3,0.3452386012328971,0.013692954833942521,0.3452380952380952,0.10309826235529033,3
3,uncertainty,100,1,0.480142759204164,0.01541099371608632,0.3928571428571428,0.28347335475692037,3
3,uncertainty,100,2,0.3845930596215113,0.01125344115190205,0.36904761904761907,0.1610446340293891,3
3,uncertainty,100,3,0.3550278251715879,0.012838148693782872,0.3095238095238095,0.10910894511799617,3
30,random,10,1,0.5865758409023318,0.04936002533165048,0.2023809523809524,0.1486904285332952,3
30,random,10,2,0.4823053891646314,0.02842613039032352,0.2142857142857143,0.12876968840942818,3
30,random,10,3,0.45884073387978214,0.02462424189209148,0.38095238095238093,0.04123930494211611,3
30,random,10,4,0.4275052337625107,0.047195723892160854,0.3452380952380952,0.0545544725589981,3
30,random,10,5,0.3953247748612359,0.026805976656626,0.3214285714285714,0.09449111825230681,3
30,random,10,6,0.3840502476364933,0.02644376053843304,0.3333333333333333,0.07434521426664759,3
30,random,10,7,0.38973701078441003,0.04627686108112381,0.3333333333333333,0.13521210347143509,3
30,random,10,8,0.3398015839399557,0.02766094720120845,0.28571428571428575,0.12371791482634838,3
30,random,10,9,0.3359905662156879,0.02237163650164141,0.2976190476190476,0.1966989481173608,3
30,random,10,10,0.3255626870635216,0.03954846777703975,0.3333333333333333,0.05455447255899808,3
30,random,10,11,0.3147425432037887,0.05503322980813149,0.35714285714285715,0.12371791482634839,3
30,random,10,12,0.30383299131907066,0.01751169833747163,0.35714285714285715,0.06185895741317416,3
30,random,10,13,0.30395272740946855,0.04291256673593432,0.3333333333333333,0.13521210347143506,3
30,random,10,14,0.2735036792566797,0.009286302972747788,0.4047619047619048,0.08987898137227081,3
30,random,10,15,0.27517882658483,0.034754307038193266,0.32142857142857145,0.035714285714285705,3
30,random,10,16,0.2552778375089268,0.030547624468476718,0.32142857142857145,0.10714285714285715,3
30,random,10,17,0.24068445845486278,0.053022243119887943,0.20238095238095236,0.08247860988423225,3
30,random,10,18,0.250321010543688,0.008361948081957329,0.4880952380952381,0.14869042853329517,3
30,random,10,19,0.26078434437388626,0.022227411006887684,0.32142857142857145,0.10714285714285715,3
30,random,10,20,0.24244859609500394,0.03302371326558435,0.3452380952380953,0.14433756729740643,3
30,random,10,21,0.2590799351553184,0.03877261500492487,0.32142857142857145,0.12371791482634836,3
30,random,10,22,0.2393601517417466,0.008865266599812236,0.39285714285714285,0.1556749622693098,3
30,random,10,23,0.22258452091771774,0.02141482510214149,0.46428571428571425,0.07142857142857141,3
30,random,10,24,0.23846296032128378,0.05785181398571992,0.30952380952380953,0.21821789023599242,3
30,random,10,25,0.2077498620538264,0.02557780225160407,0.35714285714285715,0.24743582965269675,3
30,random,10,26,0.20872380796000786,0.04109891700808131,0.38095238095238093,0.14433756729740643,3
30,random,10,27,0.19977842379263544,0.03176580101459075,0.4047619047619048,0.07434521426664757,3
30,random,10,28,0.18659914498510466,0.028804276209153393,0.5595238095238094,0.054554472558998056,3
30,random,10,29,0.1975540471930284,0.005365835812583866,0.4166666666666667,0.19669894811736074,3
30,random,10,30,0.1859490814429169,0.0582914602223628,0.3333333333333333,0.14433756729740643,3
30,random,25,1,0.5429573447927245,0.03829124545230927,0.2738095238095238,0.07434521426664763,3
30,random,25,2,0.45668745368875424,0.016672121794062272,0.35714285714285715,0.0,3
30,random,25,3,0.42296816216247984,0.023879642656598657,0.2261904761904762,0.1091089451179962,3
30,random,25,4,0.3974681249073843,0.022308178640795182,0.3452380952380952,0.1687791295090217,3
30,random,25,5,0.36829001567498193,0.019726236501358324,0.2261904761904762,0.04123930494211612,3
30,random,25,6,0.34370714230395505,0.036719545070662746,0.36904761904761907,0.1610446340293891,3
30,random,25,7,0.3441642772737581,0.03424652114253059,0.4047619047619048,0.27740905232692964,3
30,random,25,8,0.31391775298570423,0.04115860771497495,0.46428571428571425,0.27893748842523763,3
30,random,25,9,0.3016926751523763,0.009138775986285373,0.42857142857142855,0.16366341767699427,3
30,random,25,10,0.29155820835801527,0.019517816313136524,0.4285714285714286,0.0944911182523068,3
30,random,25,11,0.28325233486833107,0.037515588405234154,0.36904761904761907,0.08247860988423225,3
30,random,25,12,0.25990680663625915,0.011332004262252815,0.35714285714285715,0.14285714285714288,3
30,random,25,13,0.2848664220958252,0.021451869007332994,0.46428571428571425,0.1428571428571428,3
30,random,25,14,0.2658154985558704,0.02463478913911468,0.4047619047619047,0.10910894511799621,3
30,random,25,15,0.2496245102862522,0.034911571408751584,0.46428571428571425,0.1556749622693098,3
30,random,25,16,0.23933958076208803,0.03517089778630651,0.2976190476190476,0.27042420694287017,3
30,random,25,17,0.22857776864083756,0.03810176540829855,0.42857142857142855,0.30929478706587094,3
30,random,25,18,0.22815780251088913,0.02732471527701298,0.5,0.27893748842523763,3
30,random,25,19,0.2181503124479013,0.022581980618866477,0.5952380952380952,0.05455447255899812,3
30,random,25,20,0.230166675056974,0.029455011676319066,0.44047619047619047,0.07434521426664759,3
30,random,25,21,0.21763125704263922,0.04257320732416194,0.32142857142857145,0.12876968840942818,3
30,random,25,22,0.201620184061673,0.03757112645384792,0.5238095238095238,0.054554472558998056,3
30,random,25,23,0.1965121326561199,0.03406175088901421,0.42857142857142855,0.16366341767699427,3
30,random,25,24,0.18644738391250315,0.017814535122970324,0.511904761904762,0.16104463402938907,3
30,random,25,25,0.20339829969307432,0.05410324978135691,0.4761904761904762,0.29951775298593153,3
30,random,25,26,0.19485307542012922,0.02507793962057718,0.5238095238095238,0.12542444943872308,3
30,random,25,27,0.1787579247774879,0.0209902789885431,0.5833333333333334,0.17617438793986595,3
30,random,25,28,0.18999283058582006,0.02202196138048668,0.5476190476190476,0.1030982623552903,3
30,random,25,29,0.19371298958594763,0.027297675667620216,0.3333333333333333,0.05455447255899808,3
30,random,25,30,0.169654729352243,0.02802148176143465,0.6190476190476191,0.14433756729740643,3
30,random,50,1,0.507517997719391,0.02127504078754919,0.2976190476190476,0.10910894511799618,3
30,random,50,2,0.4263821615228009,0.022719839992500605,0.3452380952380953,0.041239304942116105,3
30,random,50,3,0.3769648419490767,0.013151764628489333,0.1904761904761905,0.1254244494387231,3
30,random,50,4,0.3594305461279721,0.03383239779845859,0.28571428571428575,0.10714285714285712,3
30,random,50,5,0.34213288038248707,0.02207633906817808,0.13095238095238096,0.07434521426664759,3
30,random,50,6,0.30790679918318975,0.0195515385420775,0.2976190476190476,0.04123930494211613,3
30,random,50,7,0.31834803566127606,0.04136969195911851,0.25,0.2142857142857143,3
30,random,50,8,0.29430453117758765,0.03557068599118688,0.4523809523809524,0.2377974328028355,3
30,random,50,9,0.28831003985792764,0.03970015228274292,0.3452380952380952,0.08247860988423224,3
30,random,50,10,0.27536112429836096,0.05176531902558509,0.4285714285714286,0.09449111825230677,3
30,random,50,11,0.26677933717077007,0.035704174796667563,0.38095238095238093,0.24310211734121592,3
30,random,50,12,0.24040809998779714,0.04271633815713347,0.4404761904761905,0.17617438793986598,3
30,random,50,13,0.2417638719929197,0.057802974168537656,0.44047619047619047,0.12542444943872305,3
