strategy,n,pre_test_accuracy_mean,pre_test_accuracy_std,post_test_accuracy_mean,post_test_accuracy_std,batch_utility_mean,batch_utility_std,post_pairwise_accuracy_mean,post_pairwise_accuracy_std,cluster_coverage_mean,cluster_coverage_std,image_reuse_rate_mean,image_reuse_rate_std,mean_pair_cosine_similarity_mean,mean_pair_cosine_similarity_std
random,15,0.3777777777777777,0.15769503754945768,0.46,0.13044490413915374,0.08222222222222224,0.20849676129594788,0.8616801664852318,0.050183845099985504,19.6,0.50709255283711,0.09399999999999999,0.020371548787463365,0.948397820292911,0.04543847438264416
uncertainty_diversity,15,0.3777777777777777,0.15769503754945768,0.4888888888888889,0.15919772405381724,0.11111111111111113,0.2477411176524022,0.8768416243290387,0.05760229204797647,18.6,1.1832159566199232,0.0913333333333333,0.015637257097196103,0.9470881458066168,0.048401549906869686
cluster_diverse,15,0.3777777777777777,0.15769503754945768,0.4266666666666666,0.12097487604837887,0.048888888888888885,0.2224918998585016,0.8209152747110455,0.06463686569086033,19.8,0.5606119105813883,0.10199999999999995,0.01278950462572452,0.9479185709048664,0.04579062781194688
core_set,15,0.3777777777777777,0.15769503754945768,0.4222222222222222,0.17891501337389773,0.044444444444444446,0.20535167924638983,0.8238825438842468,0.09067084822690755,20.0,0.0,0.08199999999999998,0.013989792196965802,0.9478313255542818,0.044369653787267434
uncertainty,15,0.3777777777777777,0.15769503754945768,0.5222222222222223,0.18757714462371256,0.14444444444444446,0.2550028529770893,0.8632997890023277,0.06378102429202444,17.466666666666665,1.3020130933435712,0.09833333333333331,0.013714781737061602,0.9486798922682794,0.04825968113184387
