strategy,cluster,selected_pairs,mean_core_set_distance,mean_uncertainty,mean_norm,low_value_flag
uncertainty,17,18,,0.6589130361874899,22.92654522869694,False
uncertainty,18,18,,0.6792703933186002,27.385618043834373,False
uncertainty,19,14,,0.6807547381946019,32.289739850175216,False
uncertainty_diversity,0,29,,0.6779520861033735,24.074509698261544,False
uncertainty_diversity,1,38,,0.6742489463404605,29.115471717234993,False
uncertainty_diversity,2,19,,0.6756729828683954,32.11677189716064,False
uncertainty_diversity,3,33,,0.6803969036449086,27.370076376820364,False
uncertainty_diversity,4,32,,0.681340254843235,23.003539652540052,False
uncertainty_diversity,5,25,,0.6891695189476014,34.54230096897996,False
uncertainty_diversity,6,31,,0.6778088327377073,21.491037687261564,False
uncertainty_diversity,7,15,,0.6605291744073232,30.725267528278817,False
uncertainty_diversity,8,31,,0.671928996039975,25.33177253553179,False
uncertainty_diversity,9,27,,0.6739591580850107,28.324565282650294,False
uncertainty_diversity,10,13,,0.6685835444010221,30.991695753547713,False
uncertainty_diversity,11,16,,0.6832147166132927,34.5093061150575,False
uncertainty_diversity,12,25,,0.6829087352752685,26.74775753407875,False
uncertainty_diversity,13,31,,0.6816791469050992,28.118517860104955,False
uncertainty_diversity,14,28,,0.6390422795500074,21.77272849227008,False
uncertainty_diversity,15,23,,0.6639501659766488,23.694274840509806,False
uncertainty_diversity,16,33,,0.6788876706903632,27.402254429894015,False
uncertainty_diversity,17,18,,0.6589130361874899,22.92654522869694,False
uncertainty_diversity,18,18,,0.6792703933186002,27.385618043834373,False
uncertainty_diversity,19,15,,0.6786202271779378,32.13275182286534,False
