strategy,round,budget_before,labeled_pairs,candidate_remaining,train_loss,train_pairwise_accuracy,test_accuracy,test_by_class,selected_pair_ids,revealed_preference_rows,selected_clusters,cluster_coverage,utilities,final
random,0,0,70,100,0.48620005670325184,0.7715355805243446,0.3,"{""(1 x 1)"": {""correct"": 1, ""total"": 8, ""accuracy"": 0.125}, ""c(6 x 2)"": {""correct"": 0, ""total"": 8, ""accuracy"": 0.0}, ""(\u221a13 x \u221a13)"": {""correct"": 5, ""total"": 8, ""accuracy"": 0.625}, ""HTR"": {""correct"": 3, ""total"": 6, ""accuracy"": 0.5}}","[""Trajectories/2022-02-04/230_RR220204A_695C_1902.bmp || Trajectories/2022-02-06/074_RR220206A_430C_1809.bmp"", ""Trajectories/2022-02-06/104_RR220206A_734C_1847.bmp || Trajectories/2022-02-06/207_RR220206A_875C_2114.bmp""]","{""Trajectories/2022-02-04/230_RR220204A_695C_1902.bmp || Trajectories/2022-02-06/074_RR220206A_430C_1809.bmp"": 2, ""Trajectories/2022-02-06/104_RR220206A_734C_1847.bmp || Trajectories/2022-02-06/207_RR220206A_875C_2114.bmp"": 2}","[5, 17]",2,"[{""candidate_pair_id"": ""Trajectories/2022-02-04/230_RR220204A_695C_1902.bmp || Trajectories/2022-02-06/074_RR220206A_430C_1809.bmp"", ""baseline_accuracy"": 0.3, ""augmented_accuracy"": 0.6333333333333333, ""delta_accuracy"": 0.3333333333333333, ""by_class_delta"": {""(1 x 1)"": 0.75, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": 0.375, ""HTR"": 0.16666666666666663}, ""cache_hit"": true}, {""candidate_pair_id"": ""Trajectories/2022-02-06/104_RR220206A_734C_1847.bmp || Trajectories/2022-02-06/207_RR220206A_875C_2114.bmp"", ""baseline_accuracy"": 0.3, ""augmented_accuracy"": 0.6333333333333333, ""delta_accuracy"": 0.3333333333333333, ""by_class_delta"": {""(1 x 1)"": 0.75, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": 0.375, ""HTR"": 0.16666666666666663}, ""cache_hit"": true}]",
random,1,2,72,98,0.48532823040971385,0.8634686346863468,0.43333333333333335,"{""(1 x 1)"": {""correct"": 6, ""total"": 8, ""accuracy"": 0.75}, ""c(6 x 2)"": {""correct"": 0, ""total"": 8, ""accuracy"": 0.0}, ""(\u221a13 x \u221a13)"": {""correct"": 7, ""total"": 8, ""accuracy"": 0.875}, ""HTR"": {""correct"": 0, ""total"": 6, ""accuracy"": 0.0}}","[""Trajectories/2022-02-06/090_RR220206A_568C_1828.bmp || Trajectories/2022-04-11/149_RR220411A_676C_1619.bmp"", ""Trajectories/2022-04-11/111_RR220411A_536C_1546.bmp || Trajectories/2022-04-11/175_RR220411A_765C_1645.bmp""]","{""Trajectories/2022-02-06/090_RR220206A_568C_1828.bmp || Trajectories/2022-04-11/149_RR220411A_676C_1619.bmp"": 5, ""Trajectories/2022-04-11/111_RR220411A_536C_1546.bmp || Trajectories/2022-04-11/175_RR220411A_765C_1645.bmp"": 4}","[3, 15]",2,"[{""candidate_pair_id"": ""Trajectories/2022-02-06/090_RR220206A_568C_1828.bmp || Trajectories/2022-04-11/149_RR220411A_676C_1619.bmp"", ""baseline_accuracy"": 0.43333333333333335, ""augmented_accuracy"": 0.5, ""delta_accuracy"": 0.06666666666666665, ""by_class_delta"": {""(1 x 1)"": 0.25, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": 0.0, ""HTR"": 0.0}, ""cache_hit"": false}, {""candidate_pair_id"": ""Trajectories/2022-04-11/111_RR220411A_536C_1546.bmp || Trajectories/2022-04-11/175_RR220411A_765C_1645.bmp"", ""baseline_accuracy"": 0.43333333333333335, ""augmented_accuracy"": 0.4, ""delta_accuracy"": -0.033333333333333326, ""by_class_delta"": {""(1 x 1)"": -0.375, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": 0.125, ""HTR"": 0.16666666666666666}, ""cache_hit"": false}]",
random,2,4,74,96,0.4766274451588591,0.9285714285714286,0.5333333333333333,"{""(1 x 1)"": {""correct"": 8, ""total"": 8, ""accuracy"": 1.0}, ""c(6 x 2)"": {""correct"": 0, ""total"": 8, ""accuracy"": 0.0}, ""(\u221a13 x \u221a13)"": {""correct"": 8, ""total"": 8, ""accuracy"": 1.0}, ""HTR"": {""correct"": 0, ""total"": 6, ""accuracy"": 0.0}}","[""Trajectories/2022-02-06/049_RR220206A_205C_1737.bmp || Trajectories/2022-04-11/356_RR220411A_685C_1925.bmp"", ""Trajectories/2022-02-04/139_RR220204A_470C_1758.bmp || Trajectories/2022-04-11/372_RR220411A_636C_1935.bmp""]","{""Trajectories/2022-02-06/049_RR220206A_205C_1737.bmp || Trajectories/2022-04-11/356_RR220411A_685C_1925.bmp"": 5, ""Trajectories/2022-02-04/139_RR220204A_470C_1758.bmp || Trajectories/2022-04-11/372_RR220411A_636C_1935.bmp"": 5}","[0, 1]",2,"[{""candidate_pair_id"": ""Trajectories/2022-02-06/049_RR220206A_205C_1737.bmp || Trajectories/2022-04-11/356_RR220411A_685C_1925.bmp"", ""baseline_accuracy"": 0.5333333333333333, ""augmented_accuracy"": 0.43333333333333335, ""delta_accuracy"": -0.09999999999999998, ""by_class_delta"": {""(1 x 1)"": -0.625, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": 0.0, ""HTR"": 0.3333333333333333}, ""cache_hit"": false}, {""candidate_pair_id"": ""Trajectories/2022-02-04/139_RR220204A_470C_1758.bmp || Trajectories/2022-04-11/372_RR220411A_636C_1935.bmp"", ""baseline_accuracy"": 0.5333333333333333, ""augmented_accuracy"": 0.36666666666666664, ""delta_accuracy"": -0.16666666666666669, ""by_class_delta"": {""(1 x 1)"": -0.875, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": 0.0, ""HTR"": 0.3333333333333333}, ""cache_hit"": false}]",
random,3,6,76,94,0.4876280095354703,0.7655172413793103,0.36666666666666664,"{""(1 x 1)"": {""correct"": 7, ""total"": 8, ""accuracy"": 0.875}, ""c(6 x 2)"": {""correct"": 0, ""total"": 8, ""accuracy"": 0.0}, ""(\u221a13 x \u221a13)"": {""correct"": 4, ""total"": 8, ""accuracy"": 0.5}, ""HTR"": {""correct"": 0, ""total"": 6, ""accuracy"": 0.0}}","[""Trajectories/2022-02-04/170_RR220204A_536C_1818.bmp || Trajectories/2022-02-06/230_RR220206A_767C_2143.bmp"", ""Trajectories/2022-04-11/343_RR220411A_722C_1918.bmp || Trajectories/2022-04-11/374_RR220411A_625C_1937.bmp""]","{""Trajectories/2022-02-04/170_RR220204A_536C_1818.bmp || Trajectories/2022-02-06/230_RR220206A_767C_2143.bmp"": 5, ""Trajectories/2022-04-11/343_RR220411A_722C_1918.bmp || Trajectories/2022-04-11/374_RR220411A_625C_1937.bmp"": 5}","[12, 15]",2,"[{""candidate_pair_id"": ""Trajectories/2022-02-04/170_RR220204A_536C_1818.bmp || Trajectories/2022-02-06/230_RR220206A_767C_2143.bmp"", ""baseline_accuracy"": 0.36666666666666664, ""augmented_accuracy"": 0.23333333333333334, ""delta_accuracy"": -0.1333333333333333, ""by_class_delta"": {""(1 x 1)"": -0.5, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": 0.0, ""HTR"": 0.0}, ""cache_hit"": false}, {""candidate_pair_id"": ""Trajectories/2022-04-11/343_RR220411A_722C_1918.bmp || Trajectories/2022-04-11/374_RR220411A_625C_1937.bmp"", ""baseline_accuracy"": 0.36666666666666664, ""augmented_accuracy"": 0.26666666666666666, ""delta_accuracy"": -0.09999999999999998, ""by_class_delta"": {""(1 x 1)"": -0.5, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": 0.125, ""HTR"": 0.0}, ""cache_hit"": false}]",
random,4,8,78,92,0.49498624949064746,0.8633333333333333,0.6666666666666666,"{""(1 x 1)"": {""correct"": 8, ""total"": 8, ""accuracy"": 1.0}, ""c(6 x 2)"": {""correct"": 0, ""total"": 8, ""accuracy"": 0.0}, ""(\u221a13 x \u221a13)"": {""correct"": 8, ""total"": 8, ""accuracy"": 1.0}, ""HTR"": {""correct"": 4, ""total"": 6, ""accuracy"": 0.6666666666666666}}","[""Trajectories/2022-04-11/323_RR220411A_816C_1903.bmp || Trajectories/2022-04-11/366_RR220411A_654C_1930.bmp"", ""Trajectories/2022-02-06/273_RR220206A_423C_2243.bmp || Trajectories/2022-04-11/093_RR220411A_482C_1531.bmp""]","{""Trajectories/2022-04-11/323_RR220411A_816C_1903.bmp || Trajectories/2022-04-11/366_RR220411A_654C_1930.bmp"": 5, ""Trajectories/2022-02-06/273_RR220206A_423C_2243.bmp || Trajectories/2022-04-11/093_RR220411A_482C_1531.bmp"": 5}","[13, 18]",2,"[{""candidate_pair_id"": ""Trajectories/2022-04-11/323_RR220411A_816C_1903.bmp || Trajectories/2022-04-11/366_RR220411A_654C_1930.bmp"", ""baseline_accuracy"": 0.6666666666666666, ""augmented_accuracy"": 0.36666666666666664, ""delta_accuracy"": -0.3, ""by_class_delta"": {""(1 x 1)"": -0.75, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": -0.375, ""HTR"": 0.0}, ""cache_hit"": false}, {""candidate_pair_id"": ""Trajectories/2022-02-06/273_RR220206A_423C_2243.bmp || Trajectories/2022-04-11/093_RR220411A_482C_1531.bmp"", ""baseline_accuracy"": 0.6666666666666666, ""augmented_accuracy"": 0.4, ""delta_accuracy"": -0.2666666666666666, ""by_class_delta"": {""(1 x 1)"": -0.75, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": -0.25, ""HTR"": 0.0}, ""cache_hit"": false}]",
random,5,10,80,90,0.4937831564498497,0.7677419354838709,0.4,"{""(1 x 1)"": {""correct"": 2, ""total"": 8, ""accuracy"": 0.25}, ""c(6 x 2)"": {""correct"": 0, ""total"": 8, ""accuracy"": 0.0}, ""(\u221a13 x \u221a13)"": {""correct"": 7, ""total"": 8, ""accuracy"": 0.875}, ""HTR"": {""correct"": 3, ""total"": 6, ""accuracy"": 0.5}}",[],,[],0,[],True
uncertainty,0,0,70,100,0.48620005670325184,0.7715355805243446,0.3,"{""(1 x 1)"": {""correct"": 1, ""total"": 8, ""accuracy"": 0.125}, ""c(6 x 2)"": {""correct"": 0, ""total"": 8, ""accuracy"": 0.0}, ""(\u221a13 x \u221a13)"": {""correct"": 5, ""total"": 8, ""accuracy"": 0.625}, ""HTR"": {""correct"": 3, ""total"": 6, ""accuracy"": 0.5}}","[""Trajectories/2022-02-04/076_RR220204A_299C_1713.bmp || Trajectories/2022-02-04/080_RR220204A_301C_1718.bmp"", ""Trajectories/2022-02-04/160_RR220204A_501C_1809-02.bmp || Trajectories/2022-02-04/161_RR220204A_504C_1810.bmp""]","{""Trajectories/2022-02-04/076_RR220204A_299C_1713.bmp || Trajectories/2022-02-04/080_RR220204A_301C_1718.bmp"": 1, ""Trajectories/2022-02-04/160_RR220204A_501C_1809-02.bmp || Trajectories/2022-02-04/161_RR220204A_504C_1810.bmp"": 1}","[3, 3]",1,"[{""candidate_pair_id"": ""Trajectories/2022-02-04/076_RR220204A_299C_1713.bmp || Trajectories/2022-02-04/080_RR220204A_301C_1718.bmp"", ""baseline_accuracy"": 0.3, ""augmented_accuracy"": 0.3, ""delta_accuracy"": 0.0, ""by_class_delta"": {""(1 x 1)"": 0.0, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": -0.125, ""HTR"": 0.16666666666666663}, ""cache_hit"": true}, {""candidate_pair_id"": ""Trajectories/2022-02-04/160_RR220204A_501C_1809-02.bmp || Trajectories/2022-02-04/161_RR220204A_504C_1810.bmp"", ""baseline_accuracy"": 0.3, ""augmented_accuracy"": 0.26666666666666666, ""delta_accuracy"": -0.033333333333333326, ""by_class_delta"": {""(1 x 1)"": 0.0, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": -0.125, ""HTR"": 0.0}, ""cache_hit"": true}]",
uncertainty,1,2,72,98,0.4848786833521957,0.862453531598513,0.6666666666666666,"{""(1 x 1)"": {""correct"": 8, ""total"": 8, ""accuracy"": 1.0}, ""c(6 x 2)"": {""correct"": 0, ""total"": 8, ""accuracy"": 0.0}, ""(\u221a13 x \u221a13)"": {""correct"": 8, ""total"": 8, ""accuracy"": 1.0}, ""HTR"": {""correct"": 4, ""total"": 6, ""accuracy"": 0.6666666666666666}}","[""Trajectories/2022-04-11/138_RR220411A_635C_1610.bmp || Trajectories/2022-04-11/186_RR220411A_805C_1658.bmp"", ""Trajectories/2022-04-11/036_RR220411A_313C_1443.bmp || Trajectories/2022-04-11/072_RR220411A_429C_1516.bmp""]","{""Trajectories/2022-04-11/138_RR220411A_635C_1610.bmp || Trajectories/2022-04-11/186_RR220411A_805C_1658.bmp"": 5, ""Trajectories/2022-04-11/036_RR220411A_313C_1443.bmp || Trajectories/2022-04-11/072_RR220411A_429C_1516.bmp"": 1}","[15, 2]",2,"[{""candidate_pair_id"": ""Trajectories/2022-04-11/138_RR220411A_635C_1610.bmp || Trajectories/2022-04-11/186_RR220411A_805C_1658.bmp"", ""baseline_accuracy"": 0.6666666666666666, ""augmented_accuracy"": 0.6333333333333333, ""delta_accuracy"": -0.033333333333333326, ""by_class_delta"": {""(1 x 1)"": 0.0, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": -0.125, ""HTR"": 0.0}, ""cache_hit"": false}, {""candidate_pair_id"": ""Trajectories/2022-04-11/036_RR220411A_313C_1443.bmp || Trajectories/2022-04-11/072_RR220411A_429C_1516.bmp"", ""baseline_accuracy"": 0.6666666666666666, ""augmented_accuracy"": 0.6, ""delta_accuracy"": -0.06666666666666665, ""by_class_delta"": {""(1 x 1)"": 0.0, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": -0.125, ""HTR"": -0.16666666666666663}, ""cache_hit"": false}]",
uncertainty,2,4,74,96,0.4889627796313208,0.9163636363636364,0.4,"{""(1 x 1)"": {""correct"": 3, ""total"": 8, ""accuracy"": 0.375}, ""c(6 x 2)"": {""correct"": 0, ""total"": 8, ""accuracy"": 0.0}, ""(\u221a13 x \u221a13)"": {""correct"": 8, ""total"": 8, ""accuracy"": 1.0}, ""HTR"": {""correct"": 1, ""total"": 6, ""accuracy"": 0.16666666666666666}}","[""Trajectories/2022-04-11/047_RR220411A_350C_1454.bmp || Trajectories/2022-04-11/186_RR220411A_805C_1658.bmp"", ""Trajectories/2022-04-11/246_RR220411A_915C_1741.bmp || Trajectories/2022-04-11/258_RR220411A_932C_1751.bmp""]","{""Trajectories/2022-04-11/047_RR220411A_350C_1454.bmp || Trajectories/2022-04-11/186_RR220411A_805C_1658.bmp"": 5, ""Trajectories/2022-04-11/246_RR220411A_915C_1741.bmp || Trajectories/2022-04-11/258_RR220411A_932C_1751.bmp"": 1}","[6, 9]",2,"[{""candidate_pair_id"": ""Trajectories/2022-04-11/047_RR220411A_350C_1454.bmp || Trajectories/2022-04-11/186_RR220411A_805C_1658.bmp"", ""baseline_accuracy"": 0.4, ""augmented_accuracy"": 0.43333333333333335, ""delta_accuracy"": 0.033333333333333326, ""by_class_delta"": {""(1 x 1)"": 0.0, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": -0.125, ""HTR"": 0.33333333333333337}, ""cache_hit"": false}, {""candidate_pair_id"": ""Trajectories/2022-04-11/246_RR220411A_915C_1741.bmp || Trajectories/2022-04-11/258_RR220411A_932C_1751.bmp"", ""baseline_accuracy"": 0.4, ""augmented_accuracy"": 0.5, ""delta_accuracy"": 0.09999999999999998, ""by_class_delta"": {""(1 x 1)"": 0.625, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": -0.125, ""HTR"": -0.16666666666666666}, ""cache_hit"": false}]",
uncertainty,3,6,76,94,0.47905578610795924,0.8754448398576512,0.5333333333333333,"{""(1 x 1)"": {""correct"": 8, ""total"": 8, ""accuracy"": 1.0}, ""c(6 x 2)"": {""correct"": 0, ""total"": 8, ""accuracy"": 0.0}, ""(\u221a13 x \u221a13)"": {""correct"": 4, ""total"": 8, ""accuracy"": 0.5}, ""HTR"": {""correct"": 4, ""total"": 6, ""accuracy"": 0.6666666666666666}}","[""Trajectories/2022-02-04/085_RR220204A_378C_1720.bmp || Trajectories/2022-02-04/134_RR220204A_467C_1754-02.bmp"", ""Trajectories/2022-02-04/079_RR220204A_301C_1717.bmp || Trajectories/2022-02-04/329_RR220204A_946C_2054.bmp""]","{""Trajectories/2022-02-04/085_RR220204A_378C_1720.bmp || Trajectories/2022-02-04/134_RR220204A_467C_1754-02.bmp"": 1, ""Trajectories/2022-02-04/079_RR220204A_301C_1717.bmp || Trajectories/2022-02-04/329_RR220204A_946C_2054.bmp"": 1}","[17, 17]",1,"[{""candidate_pair_id"": ""Trajectories/2022-02-04/085_RR220204A_378C_1720.bmp || Trajectories/2022-02-04/134_RR220204A_467C_1754-02.bmp"", ""baseline_accuracy"": 0.5333333333333333, ""augmented_accuracy"": 0.4, ""delta_accuracy"": -0.1333333333333333, ""by_class_delta"": {""(1 x 1)"": 0.0, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": 0.0, ""HTR"": -0.6666666666666666}, ""cache_hit"": false}, {""candidate_pair_id"": ""Trajectories/2022-02-04/079_RR220204A_301C_1717.bmp || Trajectories/2022-02-04/329_RR220204A_946C_2054.bmp"", ""baseline_accuracy"": 0.5333333333333333, ""augmented_accuracy"": 0.5333333333333333, ""delta_accuracy"": 0.0, ""by_class_delta"": {""(1 x 1)"": 0.0, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": 0.5, ""HTR"": -0.6666666666666666}, ""cache_hit"": false}]",
