seed,budget,strategy,symmetry_mode,epoch,lr,initial_pairs,candidate_pairs,acquisition_mode,job_id,pre_test_accuracy,post_test_accuracy,batch_utility
79,25,uncertainty,none,3,0.0001,50,120,single-shot,seed-79_budget-25_strategy-uncertainty_symmetry-none,0.5666666666666667,0.3,-0.26666666666666666
42,100,random,none,3,0.0001,50,120,single-shot,seed-42_budget-100_strategy-random_symmetry-none,0.36666666666666664,0.6,0.23333333333333334
303,10,uncertainty,none,3,0.0001,50,120,single-shot,seed-303_budget-10_strategy-uncertainty_symmetry-none,0.3,0.4,0.10000000000000003
303,75,random,none,3,0.0001,50,120,single-shot,seed-303_budget-75_strategy-random_symmetry-none,0.3,0.36666666666666664,0.06666666666666665
123,25,uncertainty,none,3,0.0001,50,120,single-shot,seed-123_budget-25_strategy-uncertainty_symmetry-none,0.36666666666666664,0.36666666666666664,0.0
123,10,uncertainty,none,3,0.0001,50,120,single-shot,seed-123_budget-10_strategy-uncertainty_symmetry-none,0.36666666666666664,0.36666666666666664,0.0
123,10,random,none,3,0.0001,50,120,single-shot,seed-123_budget-10_strategy-random_symmetry-none,0.36666666666666664,0.4666666666666667,0.10000000000000003
303,75,uncertainty,none,3,0.0001,50,120,single-shot,seed-303_budget-75_strategy-uncertainty_symmetry-none,0.3,0.2,-0.09999999999999998
123,75,random,none,3,0.0001,50,120,single-shot,seed-123_budget-75_strategy-random_symmetry-none,0.36666666666666664,0.26666666666666666,-0.09999999999999998
303,25,uncertainty,none,3,0.0001,50,120,single-shot,seed-303_budget-25_strategy-uncertainty_symmetry-none,0.3,0.43333333333333335,0.13333333333333336
303,25,random,none,3,0.0001,50,120,single-shot,seed-303_budget-25_strategy-random_symmetry-none,0.3,0.4,0.10000000000000003
303,100,random,none,3,0.0001,50,120,single-shot,seed-303_budget-100_strategy-random_symmetry-none,0.3,0.5333333333333333,0.23333333333333334
79,100,random,none,3,0.0001,50,120,single-shot,seed-79_budget-100_strategy-random_symmetry-none,0.5666666666666667,0.4666666666666667,-0.09999999999999998
202,10,uncertainty,none,3,0.0001,50,120,single-shot,seed-202_budget-10_strategy-uncertainty_symmetry-none,0.5333333333333333,0.26666666666666666,-0.26666666666666666
