strategy,n,pre_test_accuracy_mean,pre_test_accuracy_std,post_test_accuracy_mean,post_test_accuracy_std,batch_utility_mean,batch_utility_std,post_pairwise_accuracy_mean,post_pairwise_accuracy_std,cluster_coverage_mean,cluster_coverage_std,image_reuse_rate_mean,image_reuse_rate_std,mean_pair_cosine_similarity_mean,mean_pair_cosine_similarity_std
random,5,0.42666666666666664,0.1164283279771532,0.4933333333333333,0.07601169500660919,0.06666666666666668,0.17638342073763935,0.8866701727479469,0.05930282927146907,19.8,0.4472135954999579,0.09299999999999997,0.02079663434308544,0.9462351023422286,0.04829880710452465
uncertainty_diversity,5,0.42666666666666664,0.1164283279771532,0.5133333333333333,0.09006170724070862,0.08666666666666668,0.17094508539944112,0.8936874498693079,0.061826725563787474,17.8,0.8366600265340756,0.08499999999999996,0.01903943276465979,0.9475014723007984,0.048895090853628795
cluster_diverse,5,0.4266666666666666,0.1164283279771532,0.43999999999999995,0.14981470036162822,0.01333333333333333,0.21807236311728168,0.8151308955744939,0.09032079292688065,19.8,0.4472135954999579,0.09899999999999998,0.014317821063276366,0.9473711244211179,0.04620765239307906
core_set,5,0.42666666666666664,0.1164283279771532,0.42000000000000004,0.17256238807393046,-0.006666666666666659,0.1831817555204545,0.814830251265211,0.12009410843444404,20.0,0.0,0.074,0.015165750888103053,0.9464744803061583,0.0458750074436818
uncertainty,5,0.4266666666666666,0.1164283279771532,0.6466666666666667,0.2022100118413747,0.21999999999999997,0.2577681990557494,0.9216225063833935,0.033047539288043236,17.0,0.7071067811865476,0.09399999999999997,0.018506755523321764,0.9484103158928375,0.05017064355276401
